District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Bugesera,Online Business Registration,Immigration Department,0.0,56.6,2023,Jan
Burera,Online Business Registration,Immigration Department,520.0,0.0,2023,Jul
Nyamagabe,Land Registration Portal,Ministry of ICT,0.0,60.7,2022,Apr
Rubavu,E-Visa Service,Ministry of Health,0.0,0.0,2024,Dec
Nyagatare,Digital Health Records,Ministry of Health,0.0,86.6,2024,Mar
Rwamagana,Irembo Services,Ministry of Lands,717.0,87.9,2024,Nov
Rwamagana,Online Business Registration,Immigration Department,0.0,75.4,2024,May
Nyamagabe,E-Visa Service,Immigration Department,0.0,55.3,2021,Mar
Gasabo,E-Visa Service,Ministry of Lands,0.0,84.4,2021,Unknown
Rwamagana,Irembo Services,Rwanda Revenue Authority,0.0,78.9,2024,May
Karongi,Irembo Services,Immigration Department,0.0,88.1,2022,Feb
Nyamagabe,E-Visa Service,Ministry of Lands,3825.0,0.0,2021,Nov
Nyagatare,Land Registration Portal,Ministry of Health,0.0,50.5,2023,Jun
Rusizi,Online Business Registration,Rwanda Revenue Authority,974.0,87.1,2021,May
Rwamagana,Digital Health Records,Ministry of ICT,1631.0,0.0,2023,Feb
Musanze,Digital Health Records,Ministry of Health,0.0,0.0,2024,Jun
Gakenke,Digital Health Records,Rwanda Revenue Authority,305.0,90.0,2021,Nov
Kicukiro,eTax Portal,Ministry of Lands,1888.0,65.5,2022,Nov
Kayonza,Online Business Registration,Ministry of Health,0.0,86.7,2021,Mar
Nyagatare,eTax Portal,Rwanda Revenue Authority,0.0,0.0,2021,Jan
Huye,eTax Portal,Ministry of ICT,1065.0,67.8,2021,Jul
Rulindo,E-Visa Service,Ministry of Health,4519.0,0.0,2024,Nov
Bugesera,eTax Portal,Ministry of Health,0.0,0.0,2022,May
Ngoma,Land Registration Portal,Immigration Department,0.0,0.0,2021,Dec
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,4208.0,0.0,2022,Dec
Nyagatare,Irembo Services,Rwanda Revenue Authority,3975.0,87.5,2024,Unknown
Gasabo,Irembo Services,Immigration Department,4834.0,68.4,2023,Apr
Huye,Online Business Registration,Ministry of Lands,0.0,87.8,2021,Jul
Gakenke,Online Business Registration,Ministry of Lands,2202.0,0.0,2022,Nov
Karongi,Land Registration Portal,Immigration Department,560.0,0.0,2022,Feb
Rusizi,Irembo Services,Ministry of Health,0.0,68.4,2024,Dec
Nyarugenge,E-Visa Service,Ministry of ICT,0.0,0.0,2021,Feb
Rusizi,Irembo Services,Ministry of Lands,2050.0,94.3,2023,Jan
Bugesera,eTax Portal,Ministry of ICT,0.0,0.0,2022,Apr
Nyanza,Digital Health Records,Rwanda Revenue Authority,1510.0,0.0,2021,Aug
Gakenke,E-Visa Service,Rwanda Revenue Authority,3686.0,0.0,2023,Feb
Burera,Digital Health Records,Ministry of Lands,0.0,0.0,2022,Mar
Karongi,Digital Health Records,Ministry of Health,4228.0,59.1,2022,Oct
Gasabo,Land Registration Portal,Rwanda Revenue Authority,2098.0,54.6,2023,Apr
Musanze,Digital Health Records,Ministry of ICT,4830.0,93.7,2023,Sep
Rusizi,Digital Health Records,Ministry of Health,4594.0,0.0,2024,Nov
Rwamagana,eTax Portal,Ministry of Lands,0.0,0.0,2021,Aug
Rusizi,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2021,Jan
Kicukiro,Land Registration Portal,Ministry of Lands,0.0,0.0,2024,Jan
Musanze,Irembo Services,Ministry of Health,0.0,0.0,2022,Dec
Nyamagabe,eTax Portal,Ministry of Health,0.0,0.0,2023,Jun
Bugesera,Digital Health Records,Ministry of Health,820.0,91.3,2023,Unknown
Karongi,Irembo Services,Immigration Department,4413.0,81.8,2023,Feb
Nyamagabe,eTax Portal,Immigration Department,0.0,52.9,2022,Unknown
Nyanza,E-Visa Service,Ministry of ICT,0.0,0.0,2023,Jul
Musanze,E-Visa Service,Ministry of Health,4908.0,85.4,2023,Dec
Gakenke,Land Registration Portal,Ministry of Health,4769.0,91.3,2024,Mar
Huye,Digital Health Records,Rwanda Revenue Authority,3424.0,0.0,2022,Aug
Rusizi,Land Registration Portal,Ministry of ICT,3328.0,56.1,2021,Feb
Kicukiro,E-Visa Service,Ministry of ICT,0.0,0.0,2024,Apr
Nyamagabe,eTax Portal,Ministry of Lands,2172.0,68.6,2024,Jul
Gasabo,Irembo Services,Ministry of Health,0.0,79.9,2021,Feb
Nyanza,Online Business Registration,Rwanda Revenue Authority,0.0,88.3,2024,Dec
Burera,Digital Health Records,Ministry of Lands,0.0,96.7,2022,Unknown
Huye,Land Registration Portal,Immigration Department,1408.0,0.0,2023,Feb
Bugesera,Irembo Services,Ministry of Health,2532.0,0.0,2022,Feb
Nyamagabe,Irembo Services,Ministry of ICT,0.0,58.9,2021,Jun
Nyarugenge,Online Business Registration,Ministry of Health,0.0,0.0,2021,Jun
Karongi,eTax Portal,Ministry of Health,0.0,87.4,2024,May
Karongi,Online Business Registration,Immigration Department,4687.0,0.0,2022,Mar
Musanze,Online Business Registration,Rwanda Revenue Authority,3227.0,0.0,2022,Jul
Ngoma,eTax Portal,Rwanda Revenue Authority,2178.0,0.0,2021,Unknown
Nyanza,eTax Portal,Rwanda Revenue Authority,0.0,58.3,2022,Unknown
Ngoma,eTax Portal,Ministry of Lands,0.0,0.0,2021,Unknown
Nyamagabe,Irembo Services,Rwanda Revenue Authority,0.0,0.0,2022,Unknown
Karongi,Irembo Services,Ministry of Lands,0.0,75.9,2022,Mar
Gakenke,Digital Health Records,Immigration Department,3081.0,89.1,2022,Nov
Ngoma,E-Visa Service,Ministry of Health,0.0,0.0,2021,Nov
Burera,Digital Health Records,Ministry of Lands,0.0,61.3,2024,Mar
Rubavu,Online Business Registration,Immigration Department,3868.0,92.1,2022,Feb
Huye,Online Business Registration,Ministry of Lands,3873.0,74.0,2021,Sep
Nyamagabe,Digital Health Records,Immigration Department,1956.0,72.9,2021,Oct
Gakenke,Land Registration Portal,Rwanda Revenue Authority,810.0,0.0,2022,Jan
Rwamagana,E-Visa Service,Rwanda Revenue Authority,0.0,54.0,2022,Oct
Ngoma,Online Business Registration,Immigration Department,0.0,95.2,2024,Nov
Gakenke,Land Registration Portal,Ministry of ICT,0.0,71.8,2021,Mar
Burera,Land Registration Portal,Immigration Department,330.0,50.4,2021,Aug
Gasabo,E-Visa Service,Ministry of Lands,1937.0,0.0,2023,Jun
Ngoma,eTax Portal,Immigration Department,716.0,56.6,2021,Dec
Ngoma,Irembo Services,Ministry of Health,0.0,0.0,2024,Apr
Huye,Digital Health Records,Ministry of ICT,0.0,73.6,2023,Nov
Nyamagabe,E-Visa Service,Immigration Department,3172.0,0.0,2023,Dec
Karongi,Irembo Services,Ministry of ICT,0.0,0.0,2023,Mar
Rulindo,Digital Health Records,Ministry of ICT,0.0,63.1,2022,Jul
Rulindo,Irembo Services,Immigration Department,0.0,0.0,2022,Oct
Rulindo,Digital Health Records,Immigration Department,0.0,0.0,2021,Nov
Huyex,Irembo Services,Rwanda Revenue Authority,0.0,68.6,2023,Aug
Nyanza,eTax Portal,Immigration Department,1803.0,72.5,2024,Unknown
Kayonza,Land Registration Portal,Immigration Department,2346.0,63.4,2022,Apr
Rwamagana,Digital Health Records,Rwanda Revenue Authority,2311.0,0.0,2024,Feb
Nyarugenge,Land Registration Portal,Rwanda Revenue Authority,4252.0,0.0,2024,Feb
Ngoma,Digital Health Records,Ministry of Health,4193.0,95.3,2022,Mar
Nyanza,E-Visa Service,Immigration Department,0.0,0.0,2022,Unknown
Karongi,E-Visa Service,Ministry of Lands,2105.0,70.6,2022,Feb
Nyarugenge,Digital Health Records,Ministry of ICT,0.0,54.3,2022,Oct
Nyagatare,eTax Portal,Rwanda Revenue Authority,2816.0,0.0,2023,Dec
Ngoma,Irembo Services,Immigration Department,0.0,0.0,2023,Jul
Nyagatare,Digital Health Records,Ministry of Lands,0.0,78.0,2023,Jun
Huye,Irembo Services,Ministry of ICT,0.0,0.0,2023,Jul
Rubavu,eTax Portal,Immigration Department,0.0,0.0,2021,Jun
Gasabo,Online Business Registration,Ministry of Lands,0.0,81.2,2023,Unknown
Kicukiro,Land Registration Portal,Ministry of ICT,4671.0,0.0,2022,Mar
Nyagatare,Digital Health Records,Ministry of Lands,1696.0,57.2,2024,Apr
Kayonza,E-Visa Service,Rwanda Revenue Authority,2847.0,0.0,2023,May
Nyarugenge,eTax Portal,Immigration Department,1581.0,66.9,2021,Nov
Rulindo,Irembo Services,Ministry of Lands,0.0,0.0,2022,Feb
Nyamagabe,Digital Health Records,Ministry of Lands,1956.0,98.4,2024,Apr
Huye,Irembo Services,Immigration Department,0.0,0.0,2024,Sep
Gakenke,Online Business Registration,Ministry of ICT,763.0,86.0,2023,Oct
Kayonza,Digital Health Records,Immigration Department,2026.0,62.5,2024,Oct
Gakenke,Land Registration Portal,Ministry of Lands,0.0,84.2,2023,Dec
Nyagatare,Digital Health Records,Ministry of Health,4682.0,76.2,2023,Oct
Rubavu,Land Registration Portal,Ministry of ICT,0.0,0.0,2022,May
Gasabo,Irembo Services,Ministry of Lands,0.0,86.1,2022,Unknown
Musanze,Digital Health Records,Ministry of Health,116.0,89.6,2021,Dec
Nyamagabe,eTax Portal,Ministry of ICT,0.0,0.0,2022,Jan
Nyagatare,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2022,Unknown
Rwamagana,eTax Portal,Immigration Department,0.0,74.2,2023,Unknown
Nyanza,Online Business Registration,Ministry of ICT,0.0,0.0,2022,Nov
Rulindo,eTax Portal,Ministry of ICT,4057.0,0.0,2023,May
Kicukiro,Online Business Registration,Ministry of Lands,2522.0,0.0,2023,Apr
Burera,Irembo Services,Ministry of Health,0.0,70.6,2022,Sep
Nyagatare,Land Registration Portal,Ministry of ICT,1811.0,0.0,2021,Oct
Musanze,E-Visa Service,Immigration Department,2025.0,0.0,2021,Sep
Rulindo,Irembo Services,Ministry of ICT,0.0,55.6,2024,Apr
Rubavu,Land Registration Portal,Ministry of ICT,3862.0,0.0,2024,Dec
Rulindo,Land Registration Portal,Ministry of Lands,1362.0,89.7,2022,Jul
Nyanza,Online Business Registration,Ministry of ICT,2759.0,60.1,2021,May
Burera,eTax Portal,Ministry of Health,0.0,0.0,2023,Nov
Karongi,eTax Portal,Ministry of Lands,0.0,0.0,2024,Jan
Rulindo,E-Visa Service,Rwanda Revenue Authority,0.0,87.7,2023,Unknown
Nyanza,E-Visa Service,Rwanda Revenue Authority,2447.0,60.2,2024,Unknown
Nyamagabe,Online Business Registration,Ministry of Lands,3785.0,0.0,2022,Apr
Burera,Online Business Registration,Ministry of Health,1210.0,93.5,2021,Aug
Rulindo,Irembo Services,Ministry of Lands,292.0,0.0,2024,Jul
Rwamagana,Online Business Registration,Ministry of Lands,1113.0,0.0,2021,Feb
Kayonza,eTax Portal,Ministry of Lands,0.0,0.0,2023,Apr
Rulindo,Online Business Registration,Ministry of Lands,0.0,0.0,2022,Aug
Rusizi,Online Business Registration,Ministry of ICT,0.0,0.0,2021,Nov
Nyagatare,Land Registration Portal,Immigration Department,0.0,0.0,2022,Oct
Rusizi,Online Business Registration,Rwanda Revenue Authority,0.0,89.9,2021,Feb
Nyanza,E-Visa Service,Ministry of Health,0.0,82.8,2023,Sep
Kayonza,Irembo Services,Ministry of ICT,0.0,69.9,2023,Jan
Nyagatare,Online Business Registration,Rwanda Revenue Authority,4339.0,88.8,2022,Jun
Rusizi,E-Visa Service,Immigration Department,0.0,0.0,2023,Jun
Rulindo,Digital Health Records,Ministry of Lands,0.0,0.0,2024,Mar
Nyarugenge,Digital Health Records,Immigration Department,0.0,67.8,2021,Jul
Ngoma,Land Registration Portal,Rwanda Revenue Authority,0.0,78.9,2023,Unknown
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,0.0,65.6,2024,Unknown
Rusizi,Digital Health Records,Ministry of ICT,4704.0,0.0,2022,Oct
Karongi-,E-Visa Service,Ministry of ICT,0.0,0.0,2024,Jul
Karongi,Land Registration Portal,Ministry of Health,1623.0,0.0,2022,Jun
Burera,E-Visa Service,Ministry of Lands,1967.0,0.0,2022,Sep
Nyarugenge,E-Visa Service,Immigration Department,2076.0,65.8,2021,Nov
Rubavu,Land Registration Portal,Ministry of Lands,0.0,68.2,2021,Mar
Rubavu,eTax Portal,Immigration Department,0.0,0.0,2024,Unknown
Nyagatare,E-Visa Service,Ministry of Lands,59.0,0.0,2021,Aug
Gakenke,eTax Portal,Rwanda Revenue Authority,0.0,0.0,2021,Unknown
Rubavu,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2021,Feb
Huye,Digital Health Records,Ministry of Lands,0.0,82.7,2024,Jan
Nyarugenge,Irembo Services,Ministry of Health,370.0,0.0,2023,Oct
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,2426.0,0.0,2021,Feb
Nyamagabe,Digital Health Records,Ministry of Health,2874.0,92.8,2021,Jan
Karongix,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2024,May
Burera,eTax Portal,Ministry of ICT,2088.0,66.0,2023,Apr
Rulindo,eTax Portal,Ministry of ICT,3727.0,70.9,2021,Jan
Nyamagabe,Land Registration Portal,Ministry of Lands,0.0,0.0,2022,Jan
Kicukiro,Irembo Services,Immigration Department,0.0,0.0,2024,Unknown
Huye,eTax Portal,Ministry of ICT,0.0,0.0,2021,Jul
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,0.0,71.4,2021,Sep
Gakenke,Irembo Services,Rwanda Revenue Authority,3580.0,56.5,2022,May
Gasabo,eTax Portal,Ministry of ICT,2685.0,78.0,2022,Nov
Gakenke,Digital Health Records,Ministry of ICT,1620.0,0.0,2024,Dec
Kayonza,Digital Health Records,Immigration Department,0.0,0.0,2024,Sep
Gasabo,Irembo Services,Ministry of ICT,0.0,69.0,2022,Unknown
Bugeserax,Irembo Services,Ministry of Lands,3900.0,59.4,2024,Jul
Ngoma,eTax Portal,Immigration Department,0.0,0.0,2022,Jul
Gakenke,eTax Portal,Ministry of ICT,1364.0,77.0,2021,Dec
Nyamagabe,Irembo Services,Rwanda Revenue Authority,2948.0,88.0,2022,Jul
Burera,E-Visa Service,Ministry of ICT,0.0,73.6,2022,Feb
Burera,Irembo Services,Ministry of Lands,0.0,82.6,2023,Nov
Nyagatare,Land Registration Portal,Ministry of Lands,650.0,0.0,2022,Sep
Kayonza,Land Registration Portal,Rwanda Revenue Authority,1115.0,0.0,2022,Sep
Nyagatare,Land Registration Portal,Immigration Department,0.0,0.0,2023,Oct
Rusizi,Digital Health Records,Rwanda Revenue Authority,1913.0,0.0,2024,Mar
Nyamagabe,Digital Health Records,Ministry of ICT,0.0,0.0,2023,May
Kayonza,Land Registration Portal,Rwanda Revenue Authority,3812.0,86.0,2021,Feb
Gasabo,Land Registration Portal,Immigration Department,4720.0,57.1,2023,May
Gakenke,E-Visa Service,Ministry of Health,1042.0,0.0,2021,Feb
Karongi,Irembo Services,Rwanda Revenue Authority,2242.0,87.4,2024,Sep
Gakenke,Digital Health Records,Immigration Department,3104.0,0.0,2023,Apr
Rwamagana,Land Registration Portal,Ministry of Health,0.0,67.6,2023,Unknown
Rulindo,E-Visa Service,Immigration Department,0.0,0.0,2024,Mar
Rubavu,Online Business Registration,Immigration Department,2201.0,99.0,2021,Sep
Burera,eTax Portal,Ministry of Health,3160.0,51.6,2023,Jun
Gasabo,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2021,Jul
Gakenke,Digital Health Records,Ministry of Health,2676.0,0.0,2023,Oct
Gasabo,Land Registration Portal,Rwanda Revenue Authority,0.0,53.5,2022,Nov
Nyarugenge,Online Business Registration,Immigration Department,0.0,0.0,2023,Unknown
Nyamagabe,Irembo Services,Rwanda Revenue Authority,1304.0,0.0,2024,Unknown
Rubavu,Digital Health Records,Ministry of Lands,469.0,0.0,2024,Nov
Rulindo,Irembo Services,Ministry of Health,2647.0,0.0,2021,Nov
Rwamagana,eTax Portal,Ministry of Health,1170.0,93.3,2023,Nov
Kicukiro,E-Visa Service,Ministry of ICT,1000.0,65.3,2021,Feb
Rusizi,Irembo Services,Immigration Department,0.0,53.4,2021,May
Gakenke,Land Registration Portal,Immigration Department,0.0,0.0,2022,Dec
Karongi,E-Visa Service,Rwanda Revenue Authority,4662.0,0.0,2022,Jul
Huye,Online Business Registration,Ministry of Lands,1915.0,93.6,2024,Dec
Rulindo,Irembo Services,Immigration Department,2903.0,0.0,2021,Unknown
Karongi,Online Business Registration,Ministry of Lands,0.0,0.0,2024,Apr
Karongi,E-Visa Service,Ministry of ICT,0.0,0.0,2023,Jan
Gakenke,Digital Health Records,Ministry of Health,3278.0,83.5,2021,Apr
Rusizi,Digital Health Records,Ministry of Lands,0.0,0.0,2021,Feb
Nyamagabe,Land Registration Portal,Immigration Department,0.0,0.0,2023,Jul
Rusizi,Land Registration Portal,Ministry of Health,144.0,61.3,2023,Feb
Nyarugenge,Land Registration Portal,Ministry of Lands,0.0,77.3,2024,Aug
Kayonza,Online Business Registration,Ministry of Lands,843.0,70.6,2024,Oct
Gasabo,eTax Portal,Rwanda Revenue Authority,0.0,0.0,2023,Oct
Burera,eTax Portal,Ministry of Health,0.0,0.0,2024,Jan
Kicukiro,eTax Portal,Ministry of Lands,0.0,0.0,2023,May
Bugesera,Digital Health Records,Rwanda Revenue Authority,0.0,0.0,2021,Nov
Nyagatare,Digital Health Records,Immigration Department,0.0,92.9,2021,Dec
Nyarugenge,eTax Portal,Ministry of Lands,2399.0,98.6,2022,Nov
Kicukiro,E-Visa Service,Rwanda Revenue Authority,0.0,87.7,2021,Dec
Gasabo,Land Registration Portal,Rwanda Revenue Authority,0.0,92.0,2023,Mar
Nyagatare,Irembo Services,Ministry of Health,0.0,98.1,2024,Feb
Huye,E-Visa Service,Rwanda Revenue Authority,1034.0,0.0,2022,Jan
Gasabo,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Dec
Rubavu,eTax Portal,Ministry of ICT,0.0,0.0,2023,Mar
Nyagatare,Irembo Services,Immigration Department,0.0,0.0,2021,Dec
Rubavu,eTax Portal,Ministry of Lands,2985.0,0.0,2022,Jan
Kayonza,Irembo Services,Ministry of Lands,0.0,0.0,2023,Mar
Musanzex,Land Registration Portal,Immigration Department,0.0,52.3,2022,Aug
Huye,E-Visa Service,Immigration Department,3499.0,73.4,2022,Jun
Rulindo,Digital Health Records,Rwanda Revenue Authority,4196.0,91.2,2021,Sep
Rusizi,eTax Portal,Ministry of Lands,0.0,64.9,2023,Sep
Bugesera,eTax Portal,Rwanda Revenue Authority,0.0,86.5,2024,Unknown
Rwamagana,E-Visa Service,Ministry of Health,0.0,0.0,2022,Unknown
Musanze,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2022,Dec
Rwamagana,Land Registration Portal,Ministry of Health,0.0,0.0,2024,May
Ngoma,Online Business Registration,Ministry of ICT,1255.0,0.0,2023,Mar
Musanze,eTax Portal,Ministry of Lands,2922.0,59.3,2022,Jun
Gasabo,Irembo Services,Ministry of Health,0.0,0.0,2022,Mar
Ngoma,Land Registration Portal,Ministry of ICT,4712.0,0.0,2022,Dec
Gakenke,E-Visa Service,Immigration Department,2758.0,71.5,2023,Unknown
Gakenke,Online Business Registration,Rwanda Revenue Authority,1382.0,0.0,2023,Unknown
Huye,eTax Portal,Ministry of ICT,0.0,78.7,2024,May
Nyarugenge,eTax Portal,Ministry of Health,0.0,0.0,2023,Dec
Nyagatare,E-Visa Service,Ministry of Lands,0.0,0.0,2023,Feb
Musanze,E-Visa Service,Immigration Department,0.0,55.7,2021,Unknown
Ngoma,E-Visa Service,Immigration Department,0.0,76.3,2024,Jan
Musanze,Digital Health Records,Ministry of ICT,435.0,83.5,2022,Jun
Kicukirox,Online Business Registration,Ministry of ICT,3331.0,0.0,2023,Unknown
Bugesera,Land Registration Portal,Rwanda Revenue Authority,467.0,78.6,2022,Jul
Burera,E-Visa Service,Immigration Department,0.0,0.0,2022,May
Nyamagabe,Irembo Services,Immigration Department,0.0,0.0,2021,Sep
Bugesera,eTax Portal,Rwanda Revenue Authority,4908.0,73.2,2023,Feb
Nyarugenge,Land Registration Portal,Ministry of Lands,0.0,0.0,2024,May
Nyanza,Digital Health Records,Rwanda Revenue Authority,4170.0,0.0,2023,Dec
Karongi,E-Visa Service,Ministry of Health,4855.0,80.4,2022,Oct
Gasabo,eTax Portal,Ministry of Health,4430.0,72.3,2024,Nov
Nyamagabe,Online Business Registration,Ministry of ICT,0.0,0.0,2023,Feb
Kayonza,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2022,Aug
Musanze,E-Visa Service,Rwanda Revenue Authority,3170.0,0.0,2022,Aug
Nyamagabe,E-Visa Service,Ministry of ICT,0.0,89.3,2021,Sep
Bugesera,E-Visa Service,Ministry of Lands,3482.0,0.0,2021,Jun
Rulindo,Land Registration Portal,Rwanda Revenue Authority,0.0,63.6,2021,Jan
Rubavu,Irembo Services,Immigration Department,0.0,87.2,2022,Aug
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,0.0,0.0,2023,Unknown
Rwamagana,E-Visa Service,Ministry of Lands,4472.0,53.5,2021,Oct
Nyanza,Digital Health Records,Rwanda Revenue Authority,1809.0,50.1,2023,Mar
Rusizi,Land Registration Portal,Immigration Department,1039.0,0.0,2021,Jun
Burera,eTax Portal,Ministry of Health,2532.0,95.4,2024,Mar
Kayonza,Irembo Services,Ministry of Health,1001.0,63.8,2024,May
Rulindo,eTax Portal,Ministry of Lands,0.0,72.5,2021,Unknown
Nyamagabe,eTax Portal,Ministry of Lands,2767.0,0.0,2022,Feb
Rusizi,Online Business Registration,Immigration Department,3426.0,0.0,2021,Oct
Karongi,Online Business Registration,Ministry of Health,0.0,0.0,2021,Nov
Nyagatare,eTax Portal,Ministry of Health,3545.0,79.5,2022,Dec
Nyarugenge,Digital Health Records,Ministry of Health,2115.0,0.0,2024,Feb
Rusizi,Online Business Registration,Ministry of Health,0.0,0.0,2023,Apr
Rulindo,Online Business Registration,Immigration Department,0.0,0.0,2021,Dec
Nyagatare,Online Business Registration,Ministry of Lands,996.0,64.2,2022,Sep
Rulindo,Online Business Registration,Ministry of Lands,3385.0,90.1,2021,Jan
Gakenke,Irembo Services,Ministry of ICT,4200.0,0.0,2022,Jan
Karongi,eTax Portal,Ministry of Lands,0.0,0.0,2023,Unknown
Gasabo,Irembo Services,Ministry of Health,1531.0,0.0,2023,Unknown
Kayonza,Land Registration Portal,Rwanda Revenue Authority,0.0,54.4,2024,Jan
Karongi,Land Registration Portal,Ministry of Health,3501.0,90.9,2022,Apr
Rwamagana,E-Visa Service,Ministry of Health,0.0,67.3,2022,Jan
Kayonza,Land Registration Portal,Ministry of Lands,0.0,78.7,2024,Aug
Huye,Irembo Services,Ministry of ICT,3512.0,74.7,2024,Jun
Bugesera,E-Visa Service,Immigration Department,3129.0,52.2,2022,Jul
Rusizi,eTax Portal,Rwanda Revenue Authority,4458.0,0.0,2024,Mar
Karongi,Land Registration Portal,Rwanda Revenue Authority,2540.0,0.0,2023,Mar
Rusizi,Online Business Registration,Ministry of ICT,0.0,0.0,2021,Unknown
Rusizi,Land Registration Portal,Ministry of Health,3360.0,94.1,2023,Jan
Burera,Digital Health Records,Immigration Department,3725.0,0.0,2024,Sep
Gasabo,Online Business Registration,Immigration Department,0.0,83.7,2022,Unknown
Nyanza,Online Business Registration,Immigration Department,0.0,91.2,2022,Dec
Huye,Online Business Registration,Ministry of Lands,0.0,97.7,2023,Dec
Nyarugenge,E-Visa Service,Ministry of Health,0.0,50.1,2022,Nov
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2024,Jul
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,0.0,62.9,2023,Apr
Kayonza,E-Visa Service,Ministry of Health,4475.0,0.0,2022,Jun
Burera,Digital Health Records,Rwanda Revenue Authority,2248.0,0.0,2021,Apr
Nyagatare,Irembo Services,Ministry of Lands,0.0,83.3,2021,Jul
Kayonza,Digital Health Records,Immigration Department,3502.0,0.0,2024,Dec
Kayonza,eTax Portal,Rwanda Revenue Authority,0.0,54.6,2022,Jun
Rulindo,E-Visa Service,Ministry of Lands,0.0,0.0,2024,May
Gasabo,E-Visa Service,Immigration Department,1970.0,0.0,2023,Unknown
Nyarugenge,Online Business Registration,Ministry of Health,0.0,54.0,2021,Feb
Ngoma,Digital Health Records,Ministry of Health,1459.0,0.0,2023,Oct
Nyagatare,Land Registration Portal,Ministry of Lands,4616.0,83.4,2022,Jun
Gakenke,eTax Portal,Ministry of Lands,0.0,82.3,2024,Feb
Nyagatare,E-Visa Service,Ministry of Lands,0.0,0.0,2024,Sep
Ngoma,Digital Health Records,Rwanda Revenue Authority,0.0,75.1,2024,Nov
Bugesera,Online Business Registration,Ministry of Health,0.0,95.7,2023,Jan
Kayonza,Land Registration Portal,Rwanda Revenue Authority,0.0,57.7,2021,Mar
Burera,Online Business Registration,Rwanda Revenue Authority,0.0,86.2,2023,Apr
Nyanza,eTax Portal,Immigration Department,2729.0,87.0,2023,Unknown
Bugesera,Digital Health Records,Ministry of Lands,0.0,0.0,2022,Sep
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,0.0,0.0,2022,Jan
Burera,eTax Portal,Immigration Department,3236.0,0.0,2022,Jul
Karongi,E-Visa Service,Ministry of ICT,2623.0,76.6,2021,Feb
Bugesera,Land Registration Portal,Immigration Department,0.0,74.3,2021,Aug
Rulindo,Digital Health Records,Ministry of ICT,286.0,70.0,2022,Unknown
Rusizi,Digital Health Records,Ministry of ICT,3480.0,56.2,2022,May
Ngoma,eTax Portal,Ministry of ICT,1351.0,60.8,2021,Unknown
Rusizi,Digital Health Records,Ministry of ICT,0.0,86.5,2024,Unknown
Nyagatare,Land Registration Portal,Ministry of Lands,491.0,53.4,2021,May
Musanze,Land Registration Portal,Rwanda Revenue Authority,0.0,0.0,2021,Jun
Huye,Digital Health Records,Rwanda Revenue Authority,3848.0,70.2,2021,Feb
Karongi,Online Business Registration,Ministry of ICT,0.0,63.8,2022,Sep
Musanze,Online Business Registration,Rwanda Revenue Authority,2225.0,0.0,2024,Aug
Burera,Land Registration Portal,Ministry of ICT,0.0,0.0,2021,Jan
Rwamagana,Online Business Registration,Rwanda Revenue Authority,0.0,69.2,2022,Jun
Huye,eTax Portal,Immigration Department,2131.0,92.9,2023,Apr
Huye,Irembo Services,Ministry of Lands,4733.0,88.0,2023,May
Kayonza,E-Visa Service,Ministry of Health,391.0,0.0,2021,Oct
Rusizi,Digital Health Records,Ministry of ICT,2124.0,50.6,2023,Unknown
Nyanza,eTax Portal,Immigration Department,695.0,0.0,2024,May
Ngoma,Land Registration Portal,Immigration Department,0.0,0.0,2023,Dec
Musanze,Irembo Services,Ministry of Lands,0.0,0.0,2023,Oct
Huye,E-Visa Service,Ministry of Lands,1758.0,58.3,2024,Apr
Ngoma,Land Registration Portal,Ministry of ICT,3019.0,0.0,2021,Aug
Nyagatare,Irembo Services,Ministry of ICT,0.0,88.1,2021,Jun
Bugesera,eTax Portal,Immigration Department,0.0,57.7,2024,Oct
Rwamagana,Irembo Services,Immigration Department,0.0,0.0,2024,Aug
Ngoma,Online Business Registration,Ministry of Lands,1436.0,81.8,2024,Unknown
Gasabo,eTax Portal,Ministry of ICT,2916.0,69.3,2023,Unknown
Burera,Digital Health Records,Ministry of ICT,3413.0,70.5,2024,Apr
Rubavu,Land Registration Portal,Immigration Department,4939.0,0.0,2022,Dec
Rusizi,Online Business Registration,Ministry of Health,198.0,0.0,2023,Sep
Kicukiro,Digital Health Records,Immigration Department,0.0,0.0,2021,Unknown
Kicukiro,Irembo Services,Ministry of Health,1186.0,99.4,2021,Unknown
Burera,Online Business Registration,Ministry of ICT,0.0,55.3,2021,Apr
