District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Bugesera,Digital Health Records,Ministry of Health,820,91.3,2023,Unknown
Karongi,Irembo Services,Immigration Department,4413,81.8,2023,Feb
Nyamagabe,eTax Portal,Immigration Department,,52.9,2022,Unknown
Nyanza,E-Visa Service,Ministry of ICT,,,2023,Jul
Musanze,E-Visa Service,Ministry of Health,4908,85.4,2023,Dec
Gakenke,Land Registration Portal,Ministry of Health,4769,91.3,2024,Mar
Huye,Digital Health Records,Rwanda Revenue Authority,3424,,2022,Aug
Rusizi,Land Registration Portal,Ministry of ICT,3328,56.1,2021,Feb
Kicukiro,E-Visa Service,Ministry of ICT,,,2024,Apr
Nyamagabe,eTax Portal,Ministry of Lands,2172,68.6,2024,Jul
Gasabo,Irembo Services,Ministry of Health,,79.9,2021,Feb
Nyanza,Online Business Registration,Rwanda Revenue Authority,,88.3,2024,Dec
Burera,Digital Health Records,Ministry of Lands,,96.7,2022,
Huye,Land Registration Portal,Immigration Department,1408,,2023,Feb
Bugesera,Irembo Services,Ministry of Health,2532,,2022,Feb
Nyamagabe,Irembo Services,Ministry of ICT,,58.9,2021,Jun
Nyarugenge,Online Business Registration,Ministry of Health,,,2021,Jun
Karongi,eTax Portal,Ministry of Health,,87.4,2024,May
Karongi,Online Business Registration,Immigration Department,4687,,2022,Mar
Musanze,Online Business Registration,Rwanda Revenue Authority,3227,,2022,Jul
Ngoma,eTax Portal,Rwanda Revenue Authority,2178,,2021,
Nyanza,eTax Portal,Rwanda Revenue Authority,,58.3,2022,Unknown
Ngoma,eTax Portal,Ministry of Lands,,,2021,
Nyamagabe,Irembo Services,Rwanda Revenue Authority,,,2022,Unknown
Karongi,Irembo Services,Ministry of Lands,,75.9,2022,Mar
Gakenke,Digital Health Records,Immigration Department,3081,89.1,2022,Nov
Ngoma,E-Visa Service,Ministry of Health,,,2021,Nov
Burera,Digital Health Records,Ministry of Lands,,61.3,2024,Mar
Rubavu,Online Business Registration,Immigration Department,3868,92.1,2022,Feb
Huye,Online Business Registration,Ministry of Lands,3873,74,2021,Sep
Nyamagabe,Digital Health Records,Immigration Department,1956,72.9,2021,Oct
Gakenke,Land Registration Portal,Rwanda Revenue Authority,810,,2022,Jan
Rwamagana,E-Visa Service,Rwanda Revenue Authority,,54,2022,Oct
Ngoma,Online Business Registration,Immigration Department,,95.2,2024,Nov
Gakenke,Land Registration Portal,Ministry of ICT,,71.8,2021,Mar
Burera,Land Registration Portal,Immigration Department,330,50.4,2021,Aug
Gasabo,E-Visa Service,Ministry of Lands,1937,,2023,Jun
Ngoma,eTax Portal,Immigration Department,716,56.6,2021,Dec
Ngoma,Irembo Services,Ministry of Health,,,2024,Apr
Huye,Digital Health Records,Ministry of ICT,,73.6,2023,Nov
Nyamagabe,E-Visa Service,Immigration Department,3172,,2023,Dec
Karongi,Irembo Services,Ministry of ICT,,,2023,Mar
Rulindo,Digital Health Records,Ministry of ICT,,63.1,2022,Jul
Rulindo,Irembo Services,Immigration Department,,,2022,Oct
Rulindo,Digital Health Records,Immigration Department,,,2021,Nov
Huyex,Irembo Services,Rwanda Revenue Authority,,68.6,2023,Aug
Nyanza,eTax Portal,Immigration Department,1803,72.5,2024,Unknown
Kayonza,Land Registration Portal,Immigration Department,2346,63.4,2022,Apr
Rwamagana,Digital Health Records,Rwanda Revenue Authority,2311,,2024,Feb
Nyarugenge,Land Registration Portal,Rwanda Revenue Authority,4252,,2024,Feb
Ngoma,Digital Health Records,Ministry of Health,4193,95.3,2022,Mar
Nyanza,E-Visa Service,Immigration Department,,,2022,
Karongi,E-Visa Service,Ministry of Lands,2105,70.6,2022,Feb
Nyarugenge,Digital Health Records,Ministry of ICT,,54.3,2022,Oct
Nyagatare,eTax Portal,Rwanda Revenue Authority,2816,,2023,Dec
Ngoma,Irembo Services,Immigration Department,,,2023,Jul
Nyagatare,Digital Health Records,Ministry of Lands,,78,2023,Jun
Huye,Irembo Services,Ministry of ICT,,,2023,Jul
Rubavu,eTax Portal,Immigration Department,,,2021,Jun
Gasabo,Online Business Registration,Ministry of Lands,,81.2,2023,
Kicukiro,Land Registration Portal,Ministry of ICT,4671,,2022,Mar
Nyagatare,Digital Health Records,Ministry of Lands,1696,57.2,2024,Apr
Kayonza,E-Visa Service,Rwanda Revenue Authority,2847,,2023,May
Nyarugenge,eTax Portal,Immigration Department,1581,66.9,2021,Nov
Rulindo,Irembo Services,Ministry of Lands,,,2022,Feb
Nyamagabe,Digital Health Records,Ministry of Lands,1956,98.4,2024,Apr
Huye,Irembo Services,Immigration Department,,,2024,Sep
Gakenke,Online Business Registration,Ministry of ICT,763,86,2023,Oct
Kayonza,Digital Health Records,Immigration Department,2026,62.5,2024,Oct
Gakenke,Land Registration Portal,Ministry of Lands,,84.2,2023,Dec
Nyagatare,Digital Health Records,Ministry of Health,4682,76.2,2023,Oct
Rubavu,Land Registration Portal,Ministry of ICT,,,2022,May
Gasabo,Irembo Services,Ministry of Lands,,86.1,2022,
Musanze,Digital Health Records,Ministry of Health,116,89.6,2021,Dec
Nyamagabe,eTax Portal,Ministry of ICT,,,2022,Jan
Nyagatare,E-Visa Service,Rwanda Revenue Authority,,,2022,Unknown
Rwamagana,eTax Portal,Immigration Department,,74.2,2023,Unknown
Nyanza,Online Business Registration,Ministry of ICT,,,2022,Nov
Rulindo,eTax Portal,Ministry of ICT,4057,,2023,May
Kicukiro,Online Business Registration,Ministry of Lands,2522,,2023,Apr
Burera,Irembo Services,Ministry of Health,,70.6,2022,Sep
Nyagatare,Land Registration Portal,Ministry of ICT,1811,,2021,Oct
Musanze,E-Visa Service,Immigration Department,2025,,2021,Sep
Rulindo,Irembo Services,Ministry of ICT,,55.6,2024,Apr
Rubavu,Land Registration Portal,Ministry of ICT,3862,,2024,Dec
Rulindo,Land Registration Portal,Ministry of Lands,1362,89.7,2022,Jul
Nyanza,Online Business Registration,Ministry of ICT,2759,60.1,2021,May
Burera,eTax Portal,Ministry of Health,,,2023,Nov
Karongi,eTax Portal,Ministry of Lands,,,2024,Jan
Rulindo,E-Visa Service,Rwanda Revenue Authority,,87.7,2023,
Nyanza,E-Visa Service,Rwanda Revenue Authority,2447,60.2,2024,
Nyamagabe,Online Business Registration,Ministry of Lands,3785,,2022,Apr
Burera,Online Business Registration,Ministry of Health,1210,93.5,2021,Aug
Rulindo,Irembo Services,Ministry of Lands,292,,2024,Jul
Rwamagana,Online Business Registration,Ministry of Lands,1113,,2021,Feb
Kayonza,eTax Portal,Ministry of Lands,,,2023,Apr
Rulindo,Online Business Registration,Ministry of Lands,,,2022,Aug
Rusizi,Online Business Registration,Ministry of ICT,,,2021,Nov
Nyagatare,Land Registration Portal,Immigration Department,,,2022,Oct
Rusizi,Online Business Registration,Rwanda Revenue Authority,,89.9,2021,Feb
Nyanza,E-Visa Service,Ministry of Health,,82.8,2023,Sep
Kayonza,Irembo Services,Ministry of ICT,,69.9,2023,Jan
Nyagatare,Online Business Registration,Rwanda Revenue Authority,4339,88.8,2022,Jun
Rusizi,E-Visa Service,Immigration Department,,,2023,Jun
Rulindo,Digital Health Records,Ministry of Lands,,,2024,Mar
Nyarugenge,Digital Health Records,Immigration Department,,67.8,2021,Jul
Ngoma,Land Registration Portal,Rwanda Revenue Authority,,78.9,2023,Unknown
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,,65.6,2024,Unknown
Rusizi,Digital Health Records,Ministry of ICT,4704,,2022,Oct
Karongi-,E-Visa Service,Ministry of ICT,,,2024,Jul
Karongi,Land Registration Portal,Ministry of Health,1623,,2022,Jun
Burera,E-Visa Service,Ministry of Lands,1967,,2022,Sep
Nyarugenge,E-Visa Service,Immigration Department,2076,65.8,2021,Nov
Rubavu,Land Registration Portal,Ministry of Lands,,68.2,2021,Mar
Rubavu,eTax Portal,Immigration Department,,,2024,
Nyagatare,E-Visa Service,Ministry of Lands,59,,2021,Aug
Gakenke,eTax Portal,Rwanda Revenue Authority,,,2021,
Rubavu,Online Business Registration,Rwanda Revenue Authority,,,2021,Feb
Huye,Digital Health Records,Ministry of Lands,,82.7,2024,Jan
Nyarugenge,Irembo Services,Ministry of Health,370,,2023,Oct
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,2426,,2021,Feb
Nyamagabe,Digital Health Records,Ministry of Health,2874,92.8,2021,Jan
Karongix,E-Visa Service,Rwanda Revenue Authority,,,2024,May
Burera,eTax Portal,Ministry of ICT,2088,66,2023,Apr
Rulindo,eTax Portal,Ministry of ICT,3727,70.9,2021,Jan
Nyamagabe,Land Registration Portal,Ministry of Lands,,,2022,Jan
Kicukiro,Irembo Services,Immigration Department,,,2024,
Huye,eTax Portal,Ministry of ICT,,,2021,Jul
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,,71.4,2021,Sep
Gakenke,Irembo Services,Rwanda Revenue Authority,3580,56.5,2022,May
Gasabo,eTax Portal,Ministry of ICT,2685,78,2022,Nov
Gakenke,Digital Health Records,Ministry of ICT,1620,,2024,Dec
Kayonza,Digital Health Records,Immigration Department,,,2024,Sep
Gasabo,Irembo Services,Ministry of ICT,,69,2022,
Bugeserax,Irembo Services,Ministry of Lands,3900,59.4,2024,Jul
Ngoma,eTax Portal,Immigration Department,,,2022,Jul
Gakenke,eTax Portal,Ministry of ICT,1364,77,2021,Dec
Nyamagabe,Irembo Services,Rwanda Revenue Authority,2948,88,2022,Jul
Burera,E-Visa Service,Ministry of ICT,,73.6,2022,Feb
Burera,Irembo Services,Ministry of Lands,,82.6,2023,Nov
Nyagatare,Land Registration Portal,Ministry of Lands,650,,2022,Sep
Kayonza,Land Registration Portal,Rwanda Revenue Authority,1115,,2022,Sep
Nyagatare,Land Registration Portal,Immigration Department,,,2023,Oct
Rusizi,Digital Health Records,Rwanda Revenue Authority,1913,,2024,Mar
Nyamagabe,Digital Health Records,Ministry of ICT,,,2023,May
Kayonza,Land Registration Portal,Rwanda Revenue Authority,3812,86,2021,Feb
Gasabo,Land Registration Portal,Immigration Department,4720,57.1,2023,May
Gakenke,E-Visa Service,Ministry of Health,1042,,2021,Feb
Karongi,Irembo Services,Rwanda Revenue Authority,2242,87.4,2024,Sep
Gakenke,Digital Health Records,Immigration Department,3104,,2023,Apr
Rwamagana,Land Registration Portal,Ministry of Health,,67.6,2023,
Rulindo,E-Visa Service,Immigration Department,,,2024,Mar
Rubavu,Online Business Registration,Immigration Department,2201,99,2021,Sep
Burera,eTax Portal,Ministry of Health,3160,51.6,2023,Jun
Gasabo,Land Registration Portal,Rwanda Revenue Authority,,,2021,Jul
Gakenke,Digital Health Records,Ministry of Health,2676,,2023,Oct
Gasabo,Land Registration Portal,Rwanda Revenue Authority,,53.5,2022,Nov
Nyarugenge,Online Business Registration,Immigration Department,,,2023,
Nyamagabe,Irembo Services,Rwanda Revenue Authority,1304,,2024,Unknown
Rubavu,Digital Health Records,Ministry of Lands,469,,2024,Nov
Rulindo,Irembo Services,Ministry of Health,2647,,2021,Nov
Rwamagana,eTax Portal,Ministry of Health,1170,93.3,2023,Nov
Kicukiro,E-Visa Service,Ministry of ICT,1000,65.3,2021,Feb
Rusizi,Irembo Services,Immigration Department,,53.4,2021,May
Gakenke,Land Registration Portal,Immigration Department,,,2022,Dec
Karongi,E-Visa Service,Rwanda Revenue Authority,4662,,2022,Jul
Huye,Online Business Registration,Ministry of Lands,1915,93.6,2024,Dec
Rulindo,Irembo Services,Immigration Department,2903,,2021,Unknown
Karongi,Online Business Registration,Ministry of Lands,,,2024,Apr
Karongi,E-Visa Service,Ministry of ICT,,,2023,Jan
Gakenke,Digital Health Records,Ministry of Health,3278,83.5,2021,Apr
Rusizi,Digital Health Records,Ministry of Lands,,,2021,Feb
Nyamagabe,Land Registration Portal,Immigration Department,,,2023,Jul
Rusizi,Land Registration Portal,Ministry of Health,144,61.3,2023,Feb
Nyarugenge,Land Registration Portal,Ministry of Lands,,77.3,2024,Aug
Kayonza,Online Business Registration,Ministry of Lands,843,70.6,2024,Oct
Gasabo,eTax Portal,Rwanda Revenue Authority,,,2023,Oct
Burera,eTax Portal,Ministry of Health,,,2024,Jan
Kicukiro,eTax Portal,Ministry of Lands,,,2023,May
Bugesera,Digital Health Records,Rwanda Revenue Authority,,,2021,Nov
Nyagatare,Digital Health Records,Immigration Department,,92.9,2021,Dec
Nyarugenge,eTax Portal,Ministry of Lands,2399,98.6,2022,Nov
Kicukiro,E-Visa Service,Rwanda Revenue Authority,,87.7,2021,Dec
Gasabo,Land Registration Portal,Rwanda Revenue Authority,,92,2023,Mar
Nyagatare,Irembo Services,Ministry of Health,,98.1,2024,Feb
Huye,E-Visa Service,Rwanda Revenue Authority,1034,,2022,Jan
Gasabo,E-Visa Service,Ministry of Lands,,,2024,Dec
Rubavu,eTax Portal,Ministry of ICT,,,2023,Mar
Nyagatare,Irembo Services,Immigration Department,,,2021,Dec
Rubavu,eTax Portal,Ministry of Lands,2985,,2022,Jan
Kayonza,Irembo Services,Ministry of Lands,,,2023,Mar
Musanzex,Land Registration Portal,Immigration Department,,52.3,2022,Aug
Huye,E-Visa Service,Immigration Department,3499,73.4,2022,Jun
Rulindo,Digital Health Records,Rwanda Revenue Authority,4196,91.2,2021,Sep
Rusizi,eTax Portal,Ministry of Lands,,64.9,2023,Sep
Bugesera,eTax Portal,Rwanda Revenue Authority,,86.5,2024,
Rwamagana,E-Visa Service,Ministry of Health,,,2022,Unknown
Musanze,E-Visa Service,Rwanda Revenue Authority,,,2022,Dec
Rwamagana,Land Registration Portal,Ministry of Health,,,2024,May
Ngoma,Online Business Registration,Ministry of ICT,1255,,2023,Mar
Musanze,eTax Portal,Ministry of Lands,2922,59.3,2022,Jun
Gasabo,Irembo Services,Ministry of Health,,,2022,Mar
Ngoma,Land Registration Portal,Ministry of ICT,4712,,2022,Dec
Gakenke,E-Visa Service,Immigration Department,2758,71.5,2023,
Gakenke,Online Business Registration,Rwanda Revenue Authority,1382,,2023,Unknown
Huye,eTax Portal,Ministry of ICT,,78.7,2024,May
Nyarugenge,eTax Portal,Ministry of Health,,,2023,Dec
Nyagatare,E-Visa Service,Ministry of Lands,,,2023,Feb
Musanze,E-Visa Service,Immigration Department,,55.7,2021,
Ngoma,E-Visa Service,Immigration Department,,76.3,2024,Jan
Musanze,Digital Health Records,Ministry of ICT,435,83.5,2022,Jun
Kicukirox,Online Business Registration,Ministry of ICT,3331,,2023,
Bugesera,Land Registration Portal,Rwanda Revenue Authority,467,78.6,2022,Jul
Burera,E-Visa Service,Immigration Department,,,2022,May
Nyamagabe,Irembo Services,Immigration Department,,,2021,Sep
Bugesera,eTax Portal,Rwanda Revenue Authority,4908,73.2,2023,Feb
Nyarugenge,Land Registration Portal,Ministry of Lands,,,2024,May
Nyanza,Digital Health Records,Rwanda Revenue Authority,4170,,2023,Dec
Karongi,E-Visa Service,Ministry of Health,4855,80.4,2022,Oct
Gasabo,eTax Portal,Ministry of Health,4430,72.3,2024,Nov
Nyamagabe,Online Business Registration,Ministry of ICT,,,2023,Feb
Kayonza,E-Visa Service,Rwanda Revenue Authority,,,2022,Aug
Musanze,E-Visa Service,Rwanda Revenue Authority,3170,,2022,Aug
Nyamagabe,E-Visa Service,Ministry of ICT,,89.3,2021,Sep
Bugesera,E-Visa Service,Ministry of Lands,3482,,2021,Jun
Rulindo,Land Registration Portal,Rwanda Revenue Authority,,63.6,2021,Jan
Rubavu,Irembo Services,Immigration Department,,87.2,2022,Aug
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,,,2023,Unknown
Rwamagana,E-Visa Service,Ministry of Lands,4472,53.5,2021,Oct
Nyanza,Digital Health Records,Rwanda Revenue Authority,1809,50.1,2023,Mar
Rusizi,Land Registration Portal,Immigration Department,1039,,2021,Jun
Burera,eTax Portal,Ministry of Health,2532,95.4,2024,Mar
Kayonza,Irembo Services,Ministry of Health,1001,63.8,2024,May
Rulindo,eTax Portal,Ministry of Lands,,72.5,2021,
Nyamagabe,eTax Portal,Ministry of Lands,2767,,2022,Feb
Rusizi,Online Business Registration,Immigration Department,3426,,2021,Oct
Karongi,Online Business Registration,Ministry of Health,,,2021,Nov
Nyagatare,eTax Portal,Ministry of Health,3545,79.5,2022,Dec
Nyarugenge,Digital Health Records,Ministry of Health,2115,,2024,Feb
Rusizi,Online Business Registration,Ministry of Health,,,2023,Apr
Rulindo,Online Business Registration,Immigration Department,,,2021,Dec
Nyagatare,Online Business Registration,Ministry of Lands,996,64.2,2022,Sep
Rulindo,Online Business Registration,Ministry of Lands,3385,90.1,2021,Jan
Gakenke,Irembo Services,Ministry of ICT,4200,,2022,Jan
Karongi,eTax Portal,Ministry of Lands,,,2023,Unknown
Gasabo,Irembo Services,Ministry of Health,1531,,2023,Unknown
Kayonza,Land Registration Portal,Rwanda Revenue Authority,,54.4,2024,Jan
Karongi,Land Registration Portal,Ministry of Health,3501,90.9,2022,Apr
Rwamagana,E-Visa Service,Ministry of Health,,67.3,2022,Jan
Kayonza,Land Registration Portal,Ministry of Lands,,78.7,2024,Aug
Huye,Irembo Services,Ministry of ICT,3512,74.7,2024,Jun
Bugesera,E-Visa Service,Immigration Department,3129,52.2,2022,Jul
Rusizi,eTax Portal,Rwanda Revenue Authority,4458,,2024,Mar
Karongi,Land Registration Portal,Rwanda Revenue Authority,2540,,2023,Mar
Rusizi,Online Business Registration,Ministry of ICT,,,2021,Unknown
Rusizi,Land Registration Portal,Ministry of Health,3360,94.1,2023,Jan
Burera,Digital Health Records,Immigration Department,3725,,2024,Sep
Gasabo,Online Business Registration,Immigration Department,,83.7,2022,
Nyanza,Online Business Registration,Immigration Department,,91.2,2022,Dec
Huye,Online Business Registration,Ministry of Lands,,97.7,2023,Dec
Nyarugenge,E-Visa Service,Ministry of Health,,50.1,2022,Nov
Nyagatare,Land Registration Portal,Rwanda Revenue Authority,,,2024,Jul
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,,62.9,2023,Apr
Kayonza,E-Visa Service,Ministry of Health,4475,,2022,Jun
Burera,Digital Health Records,Rwanda Revenue Authority,2248,,2021,Apr
Nyagatare,Irembo Services,Ministry of Lands,,83.3,2021,Jul
Kayonza,Digital Health Records,Immigration Department,3502,,2024,Dec
Kayonza,eTax Portal,Rwanda Revenue Authority,,54.6,2022,Jun
Rulindo,E-Visa Service,Ministry of Lands,,,2024,May
Gasabo,E-Visa Service,Immigration Department,1970,,2023,Unknown
Nyarugenge,Online Business Registration,Ministry of Health,,54,2021,Feb
Ngoma,Digital Health Records,Ministry of Health,1459,,2023,Oct
Nyagatare,Land Registration Portal,Ministry of Lands,4616,83.4,2022,Jun
Gakenke,eTax Portal,Ministry of Lands,,82.3,2024,Feb
Nyagatare,E-Visa Service,Ministry of Lands,,,2024,Sep
Ngoma,Digital Health Records,Rwanda Revenue Authority,,75.1,2024,Nov
Bugesera,Online Business Registration,Ministry of Health,,95.7,2023,Jan
Kayonza,Land Registration Portal,Rwanda Revenue Authority,,57.7,2021,Mar
Burera,Online Business Registration,Rwanda Revenue Authority,,86.2,2023,Apr
Nyanza,eTax Portal,Immigration Department,2729,87,2023,
Bugesera,Digital Health Records,Ministry of Lands,,,2022,Sep
Nyamagabe,Online Business Registration,Rwanda Revenue Authority,,,2022,Jan
Burera,eTax Portal,Immigration Department,3236,,2022,Jul
Karongi,E-Visa Service,Ministry of ICT,2623,76.6,2021,Feb
Bugesera,Land Registration Portal,Immigration Department,,74.3,2021,Aug
Rulindo,Digital Health Records,Ministry of ICT,286,70,2022,Unknown
Rusizi,Digital Health Records,Ministry of ICT,3480,56.2,2022,May
Ngoma,eTax Portal,Ministry of ICT,1351,60.8,2021,
Rusizi,Digital Health Records,Ministry of ICT,,86.5,2024,Unknown
Nyagatare,Land Registration Portal,Ministry of Lands,491,53.4,2021,May
Musanze,Land Registration Portal,Rwanda Revenue Authority,,,2021,Jun
Huye,Digital Health Records,Rwanda Revenue Authority,3848,70.2,2021,Feb
Karongi,Online Business Registration,Ministry of ICT,,63.8,2022,Sep
Musanze,Online Business Registration,Rwanda Revenue Authority,2225,,2024,Aug
Burera,Land Registration Portal,Ministry of ICT,,,2021,Jan
Rwamagana,Online Business Registration,Rwanda Revenue Authority,,69.2,2022,Jun
Huye,eTax Portal,Immigration Department,2131,92.9,2023,Apr
Huye,Irembo Services,Ministry of Lands,4733,88,2023,May
Kayonza,E-Visa Service,Ministry of Health,391,,2021,Oct
Rusizi,Digital Health Records,Ministry of ICT,2124,50.6,2023,
Nyanza,eTax Portal,Immigration Department,695,,2024,May
Ngoma,Land Registration Portal,Immigration Department,,,2023,Dec
Musanze,Irembo Services,Ministry of Lands,,,2023,Oct
Huye,E-Visa Service,Ministry of Lands,1758,58.3,2024,Apr
Ngoma,Land Registration Portal,Ministry of ICT,3019,,2021,Aug
Nyagatare,Irembo Services,Ministry of ICT,,88.1,2021,Jun
Bugesera,eTax Portal,Immigration Department,,57.7,2024,Oct
Rwamagana,Irembo Services,Immigration Department,,,2024,Aug
Ngoma,Online Business Registration,Ministry of Lands,1436,81.8,2024,
Gasabo,eTax Portal,Ministry of ICT,2916,69.3,2023,
Burera,Digital Health Records,Ministry of ICT,3413,70.5,2024,Apr
Rubavu,Land Registration Portal,Immigration Department,4939,,2022,Dec
Rusizi,Online Business Registration,Ministry of Health,198,,2023,Sep
Kicukiro,Digital Health Records,Immigration Department,,,2021,
Kicukiro,Irembo Services,Ministry of Health,1186,99.4,2021,
Burera,Online Business Registration,Ministry of ICT,,55.3,2021,Apr
Ngoma,Digital Health Records,Immigration Department,,57,2023,Mar
Rubavu,eTax Portal,Ministry of Lands,4243,,2022,Jan
Kayonza,Irembo Services,Rwanda Revenue Authority,,75.3,2024,Jul
Musanze,Digital Health Records,Ministry of ICT,4551,,2024,Jan
Gasabo,Irembo Services,Ministry of ICT,,,2021,Apr
Ngoma,Digital Health Records,Immigration Department,,96.3,2021,Sep
Kayonza,Land Registration Portal,Rwanda Revenue Authority,,,2023,Jun
Kayonza,eTax Portal,Rwanda Revenue Authority,,65.7,2022,Nov
Rulindo,Online Business Registration,Rwanda Revenue Authority,4510,,2024,Unknown
Karongi,Digital Health Records,Immigration Department,531,,2023,Dec
Rwamagana,Irembo Services,Immigration Department,,,2024,Jan
Kicukiro,eTax Portal,Ministry of Health,1574,68.7,2021,Jun
Rusizi,Online Business Registration,Ministry of Health,2393,,2024,Jan
Kayonza,Irembo Services,Ministry of Health,1290,99.7,2022,
Musanze,eTax Portal,Ministry of Lands,,99.2,2022,Nov
Nyarugenge,Irembo Services,Ministry of ICT,4170,,2021,Jul
Gakenke,E-Visa Service,Ministry of Health,,69.5,2022,Unknown
Kayonza,E-Visa Service,Ministry of Lands,,,2022,Dec
Nyarugenge,eTax Portal,Ministry of Lands,221,77.1,2023,Dec
Kicukiro,Online Business Registration,Immigration Department,,73.9,2024,May
Rubavu,Online Business Registration,Rwanda Revenue Authority,2372,,2021,Feb
Rubavu,Irembo Services,Rwanda Revenue Authority,3165,62.3,2021,Apr
Ngoma,eTax Portal,Ministry of Health,4140,,2021,Sep
Nyarugenge,Digital Health Records,Ministry of ICT,3054,91.3,2021,Apr
Nyagatare,E-Visa Service,Ministry of ICT,379,59.7,2021,Jul
Musanze,Online Business Registration,Ministry of ICT,3944,75.4,2022,Aug
Burera,E-Visa Service,Ministry of Lands,,,2023,Jan
Nyamagabe,Digital Health Records,Ministry of Lands,,,2021,Mar
Nyagatare,Digital Health Records,Ministry of Lands,,,2023,Dec
Nyanza,Land Registration Portal,Immigration Department,4112,79.1,2023,May
Gakenke,Irembo Services,Ministry of Lands,3202,72.2,2022,Feb
Rulindo,Irembo Services,Ministry of ICT,,,2021,Jan
Rulindo,Irembo Services,Ministry of ICT,,70.1,2022,Apr
Ngoma,eTax Portal,Rwanda Revenue Authority,3776,,2021,Unknown
Nyamagabe,Online Business Registration,Ministry of ICT,4043,81.2,2022,Sep
Ngoma,Online Business Registration,Ministry of Lands,,89.6,2023,Jul
Kicukiro,Land Registration Portal,Ministry of Lands,,60.1,2021,Dec
Musanze,E-Visa Service,Ministry of Health,4856,57.4,2024,Jun
Huye,Land Registration Portal,Immigration Department,,,2023,Aug
Huye,Land Registration Portal,Ministry of ICT,,95.3,2024,Dec
Rusizi,Digital Health Records,Immigration Department,,98.2,2023,Feb
Nyarugenge,Irembo Services,Ministry of ICT,4480,,2022,Oct
Rwamagana,eTax Portal,Rwanda Revenue Authority,4282,,2021,Feb
Nyagatare,Online Business Registration,Rwanda Revenue Authority,1571,,2023,Sep
Rwamagana,eTax Portal,Immigration Department,4872,,2022,Mar
Burera,Irembo Services,Ministry of Lands,,,2021,Nov
Nyarugenge,Irembo Services,Ministry of Health,2469,,2021,Unknown
Rwamagana,Online Business Registration,Ministry of ICT,,,2023,Jul
Gasabo,Digital Health Records,Ministry of ICT,,57.4,2021,Feb
Nyamagabe,E-Visa Service,Ministry of Health,664,,2023,Oct
Rulindo,Land Registration Portal,Immigration Department,,,2021,Oct
Kayonza,Digital Health Records,Immigration Department,,74.6,2024,Jan
Ngoma,Irembo Services,Ministry of ICT,180,,2022,Jul
Kicukiro,Irembo Services,Rwanda Revenue Authority,,,2024,Nov
Nyagatare,Digital Health Records,Ministry of Health,4328,88.1,2023,Mar
Ngoma,Land Registration Portal,Ministry of ICT,4509,,2024,Apr
Ngoma,Land Registration Portal,Rwanda Revenue Authority,4009,,2023,May
Rulindo,Irembo Services,Immigration Department,3637,86.3,2021,May
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,970,,2021,Unknown
Nyagatare,Land Registration Portal,Ministry of Lands,2819,72.2,2023,Jun
Rusizi,Land Registration Portal,Ministry of ICT,4161,,2024,
Huye,Online Business Registration,Ministry of Health,,90.3,2021,Jul
Nyamagabe,E-Visa Service,Rwanda Revenue Authority,3571,60,2022,Dec
Musanze,Online Business Registration,Immigration Department,,53,2021,Unknown
Burera,eTax Portal,Rwanda Revenue Authority,,72,2022,Dec
Nyagatare,Digital Health Records,Immigration Department,4396,,2024,Jun
Rubavu,Irembo Services,Ministry of Lands,1854,,2022,Jun
Rusizi,Land Registration Portal,Immigration Department,3860,62.8,2022,Aug
Rubavu,eTax Portal,Ministry of Health,,,2022,May
Nyarugenge,Online Business Registration,Ministry of Lands,,61,2022,Apr
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,2082,,2021,Feb
Rwamagana,Digital Health Records,Ministry of ICT,4463,,2022,Apr
Ngoma,Online Business Registration,Immigration Department,4893,,2021,Mar
Ngoma,E-Visa Service,Ministry of Health,,,2022,
Rulindo,E-Visa Service,Ministry of ICT,1821,,2023,
Musanze,Irembo Services,Ministry of ICT,,91,2024,Oct
Rulindo,Land Registration Portal,Ministry of Lands,970,,2022,Feb
Ngoma,eTax Portal,Rwanda Revenue Authority,,,2023,Mar
Gakenke,Irembo Services,Ministry of ICT,4534,50.4,2022,Feb
Rusizi,Land Registration Portal,Ministry of Health,3810,,2022,Mar
Nyanza,Land Registration Portal,Immigration Department,,91.4,2022,Aug
Burera,Land Registration Portal,Immigration Department,,50.1,2023,Aug
Kayonza,Land Registration Portal,Immigration Department,,86.9,2024,Jun
Rulindo,Land Registration Portal,Ministry of Lands,,81.6,2023,Jul
Nyarugenge,Irembo Services,Ministry of Health,4438,,2024,Feb
Kicukiro,Digital Health Records,Ministry of ICT,481,,2022,Sep
Nyamagabe,Digital Health Records,Ministry of Health,2682,82.9,2021,Jun
Karongi,Irembo Services,Ministry of Lands,,94.2,2022,
Rusizi,E-Visa Service,Ministry of Lands,,,2024,Apr
Gasabo,Digital Health Records,Rwanda Revenue Authority,1878,,2023,Aug
Nyarugenge,eTax Portal,Ministry of Health,4118,,2022,May
Nyagatare,eTax Portal,Immigration Department,4855,84.4,2023,Aug
